endpoint,query_budget_cells,model,n_surfaces,eligible_n_ge_5,degree1_ba,degree2_ridge_ba,hamming_kernel_ba,majority_ba,random_score_ba,lift_vs_majority,lift_vs_random_score,degree1_acc,degree1_floor_recall,degree1_ceiling_recall
acceptable_floor_choice,12,gemini-2.5-pro,6,True,0.7909043728742161,0.7267715895069126,0.6460517193998813,0.532,0.5011924074732027,0.2589043728742161,0.2897119654010134,0.8776416666666665,0.7693575872284525,0.8010173991724826
acceptable_floor_choice,12,gemini-3-flash-preview,7,True,0.7432169525076011,0.701262097248113,0.6397559753410013,0.5347857142857143,0.4982090764701169,0.2084312382218868,0.2450078760374842,0.8453499999999999,0.6411921850860655,0.8226289476629813
acceptable_floor_choice,12,gpt-5-mini,5,True,0.6706746000984739,0.6121409699747277,0.5846355011397271,0.5374,0.499605068827801,0.13327460009847392,0.17106953127067293,0.76474,0.6745719352093568,0.6411158695941978
acceptable_floor_choice,12,gpt-5.2,7,True,0.7351960281999562,0.6965063195901597,0.5945669889038918,0.5099285714285714,0.4993969382483701,0.22526745677138482,0.2357990899515861,0.8476357142857143,0.6541886688170278,0.8118030238222529
acceptable_floor_choice,12,gpt-5.4-thinking,9,True,0.7520332689290701,0.717015850405137,0.6058609406866114,0.5158333333333334,0.5004919012088129,0.2361999355957367,0.25154136772025715,0.8739722222222223,0.6822818675086932,0.8175545715651499
acceptable_floor_choice,12,gpt-health,10,True,0.7848839372546957,0.7002834520284927,0.6805354041995586,0.55905,0.4994015057671946,0.2258339372546957,0.28548243148750113,0.896565,0.8340182278372055,0.7029679466495126
acceptable_floor_choice,12,llama-3.3-70b-instruct-turbo,5,True,0.7710157417775723,0.7238722051473638,0.604664103977378,0.5006,0.5011632717733763,0.2704157417775722,0.269852470004196,0.8092,0.7960906797124444,0.7459459389694636
floor_vs_ceiling_within_range_only,6,claude-haiku-4-5,4,False,0.7051874053997902,0.6056424531827821,0.6017039766392234,0.504125,0.4980314993861917,0.20106240539979015,0.2071559060135985,0.7956153846153847,0.7844813602990577,0.6249143787405168
floor_vs_ceiling_within_range_only,6,claude-opus-4-6,11,True,0.6848040393728487,0.5975978585161862,0.5987507395971599,0.5085909090909091,0.5007006293644558,0.17621313028193963,0.18410341000839292,0.785902097902098,0.6654610633920318,0.7028384422957684
floor_vs_ceiling_within_range_only,6,deepseek-r1,10,True,0.6635214808777189,0.5764583079628808,0.593040344545736,0.5123,0.497663406374955,0.15122148087771892,0.1658580745027639,0.7881538461538462,0.685737599513132,0.6385475089259534
