replicate,model_boot_mean,scenario_cluster_model_weighted_boot_mean,scenario_simple_boot_mean
305,0.7600928280366519,0.7426158028449664,0.7397221020796174
306,0.747622839088437,0.7567412901371849,0.7468930268958603
307,0.7448760660352731,0.7794882762585197,0.7686961041643097
308,0.7618239112163396,0.7452238187513798,0.7689729294823975
309,0.7370692460302485,0.744648918884255,0.7420278395122523
310,0.7606588528756931,0.7511098438564385,0.7295524605459432
311,0.7630615456552947,0.7514082060461179,0.7243511233716095
312,0.7591266607751572,0.7356288128512738,0.7892059086054939
313,0.7490948840063736,0.7376817063427603,0.7724376296012033
314,0.7422588761061037,0.756146618593313,0.7280564722560368
315,0.7616165498726576,0.7233432244109078,0.7649831939999846
316,0.7557284180922563,0.757045760629498,0.7541579923865532
317,0.7209284812210262,0.781490971681888,0.7569228325691518
318,0.7442409165994878,0.7327052001506923,0.7364122237870785
319,0.767614842443333,0.7457565447649306,0.7409117141958612
320,0.7407779323477556,0.7099719508298257,0.7379125674852578
321,0.744791812231037,0.7622660532749992,0.7448496136972685
322,0.7418464583314401,0.7773868987538608,0.7306126675187506
323,0.7450496879729783,0.7330417632098347,0.7362326380927992
324,0.7548996863744593,0.7714831132352138,0.7446137168564579
325,0.7460731094327133,0.7572124128205535,0.7284164495671342
326,0.7414610376724906,0.7239138228424667,0.7601377101674233
327,0.7630592082561682,0.7293564175662379,0.7279668761074937
328,0.714196750330683,0.7808138748907409,0.7408683941801003
329,0.7473832715777777,0.7336979214161742,0.7324396075102528
330,0.7421546866426254,0.7145281264143333,0.7259903028834425
331,0.7167149302973781,0.785807386734589,0.7235830533032209
332,0.7392830209041189,0.7609731071220457,0.7502160685651861
333,0.7402957435788678,0.7505759414955163,0.7529777346144432
334,0.7350372661435577,0.7800739524016966,0.8090287458082444
335,0.7537011988605546,0.7669517853628398,0.7445126634321096
336,0.7528255564102575,0.7424144519140853,0.7293947523345233
337,0.7385793066811416,0.7528096934789179,0.7490601143194681
338,0.7487870842710697,0.7638940926793298,0.7484772164939549
339,0.7311766287422856,0.7140954679167925,0.7093722343670341
340,0.7532983436148081,0.7240623644031907,0.7966632812812965
341,0.7692287365282248,0.7319328268388166,0.7872513573294917
342,0.7484731866002912,0.7551468271108066,0.7265894458353969
343,0.7538027891095594,0.7638428103213748,0.7441567674636437
344,0.7504021643427037,0.7331440303138471,0.7097827087380905
345,0.7541081899616598,0.7719814926636713,0.7662234107041385
346,0.7496360906348501,0.7214349011712772,0.7241589447178464
347,0.743859476454941,0.7402542791707099,0.752735129686168
348,0.7167084570428934,0.7553887398969079,0.7195610712417946
